1	2	4
1	3	4
1	4	4
1	5	5
1	6	6
1	7	7
1	8	6
1	9	8
1	10	7
1	11	7
1	12	7
1	13	7
1	14	9
1	15	9
1	16	17
1	17	6
1	18	6
1	19	2
1	20	9
2	3	1
2	4	2
2	5	7
2	6	7
2	7	7
2	8	7
2	9	8
2	10	8
2	11	8
2	12	9
2	13	8
2	14	8
2	15	7
2	16	17
2	17	8
2	18	8
2	19	6
2	20	9
3	4	2
3	5	7
3	6	7
3	7	6
3	8	7
3	9	8
3	10	8
3	11	8
3	12	9
3	13	8
3	14	8
3	15	7
3	16	16
3	17	8
3	18	8
3	19	6
3	20	9
4	5	7
4	6	7
4	7	7
4	8	7
4	9	8
4	10	8
4	11	8
4	12	9
4	13	8
4	14	7
4	15	5
4	16	16
4	17	8
4	18	8
4	19	6
4	20	7
5	6	1
5	7	3
5	8	4
5	9	6
5	10	6
5	11	6
5	12	10
5	13	10
5	14	12
5	15	12
5	16	17
5	17	3
5	18	4
5	19	4
5	20	10
6	7	3
6	8	4
6	9	5
6	10	5
6	11	6
6	12	10
6	13	10
6	14	12
6	15	12
6	16	17
6	17	2
6	18	3
6	19	5
6	20	10
7	8	5
7	9	6
7	10	6
7	11	7
7	12	9
7	13	9
7	14	11
7	15	11
7	16	17
7	17	5
7	18	5
7	19	6
7	20	9
8	9	4
8	10	2
8	11	2
8	12	10
8	13	10
8	14	12
8	15	12
8	16	18
8	17	4
8	18	5
8	19	6
8	20	9
9	10	6
9	11	6
9	12	10
9	13	10
9	14	11
9	15	12
9	16	19
9	17	5
9	18	4
9	19	8
9	20	10
10	11	1
10	12	10
10	13	10
10	14	12
10	15	12
10	16	18
10	17	5
10	18	4
10	19	7
10	20	9
11	12	10
11	13	10
11	14	12
11	15	12
11	16	17
11	17	5
11	18	5
11	19	7
11	20	8
12	13	2
12	14	4
12	15	4
12	16	10
12	17	10
12	18	9
12	19	9
12	20	10
13	14	2
13	15	3
13	16	12
13	17	10
13	18	9
13	19	9
13	20	10
14	15	2
14	16	12
14	17	12
14	18	11
14	19	11
14	20	10
15	16	11
15	17	12
15	18	11
15	19	11
15	20	8
16	17	18
16	18	18
16	19	17
16	20	15
17	18	2
17	19	4
17	20	10
18	19	5
18	20	10
19	20	10
